"","country","year","cellphones"
"4461","Djibouti","1981",0
"4462","Dominica","1981",0
"4463","Dominican Republic","1981",0
"4464","East Germany","1981",0
"4465","Ecuador","1981",0
"4466","Egypt","1981",0
"4467","El Salvador","1981",0
"4468","Equatorial Guinea","1981",0
"4469","Eritrea","1981",0
"4470","Eritrea and Ethiopia","1981",0
"4471","Estonia","1981",0
"4472","Ethiopia","1981",0
"4473","Faeroe Islands","1981",0
"4474","Falkland Is (Malvinas)","1981",0
"4475","Fiji","1981",0
"4476","Finland","1981",0.589011124515927
"4477","France","1981",0
"4478","French Guiana","1981",0
"4479","French Polynesia","1981",0
"4480","Gabon","1981",0
"4481","Gambia","1981",0
"4482","Georgia","1981",0
"4483","Germany","1981",0
"4484","Ghana","1981",0
"4485","Gibraltar","1981",0
"4486","Greece","1981",0
"4487","Greenland","1981",0
"4488","Grenada","1981",0
"4489","Guadeloupe","1981",0
"4490","Guam","1981",0
"4491","Guatemala","1981",0
"4492","Guernsey","1981",0
"4493","Guinea","1981",0
"4494","Guinea-Bissau","1981",0
"4495","Guyana","1981",0
"4496","Haiti","1981",0
"4497","Holy See","1981",0
"4498","Honduras","1981",0
"4499","Hong Kong, China","1981",0
"4500","Hungary","1981",0
"4501","Iceland","1981",0
"4502","India","1981",0
"4503","Indonesia","1981",0
"4504","Iran","1981",0
"4505","Iraq","1981",0
"4506","Ireland","1981",0
"4507","Isle of Man","1981",0
"4508","Israel","1981",0
"4509","Italy","1981",0
"4510","Jamaica","1981",0
"4511","Japan","1981",0.011363251363218
"4512","Jersey","1981",0
"4513","Jordan","1981",0
"4514","Kazakhstan","1981",0
"4515","Kenya","1981",0
"4516","Kiribati","1981",0
"4517","North Korea","1981",0
"4518","South Korea","1981",0
"4519","United Korea (former)
","1981",0
"4520","Kosovo","1981",0
"4521","Kuwait","1981",0
"4522","Kyrgyz Republic","1981",0
"4523","Lao","1981",0
"4524","Latvia","1981",0
"4525","Lebanon","1981",0
"4526","Lesotho","1981",0
"4527","Liberia","1981",0
"4528","Libya","1981",0
"4529","Liechtenstein","1981",0
"4530","Lithuania","1981",0
"4531","Luxembourg","1981",0
"4532","Macao, China","1981",0
"4533","Macedonia, FYR","1981",0
"4534","Madagascar","1981",0
"4535","Malawi","1981",0
"4536","Malaysia","1981",0
"4537","Maldives","1981",0
"4538","Mali","1981",0
"4539","Malta","1981",0
"4540","Marshall Islands","1981",0
"4541","Martinique","1981",0
"4542","Mauritania","1981",0
"4543","Mauritius","1981",0
"4544","Mayotte","1981",0
"4545","Mexico","1981",0
"4546","Micronesia, Fed. Sts.","1981",0
"4547","Moldova","1981",0
"4548","Monaco","1981",0
"4549","Mongolia","1981",0
"4550","Montenegro","1981",0
"4551","Montserrat","1981",0
"4552","Morocco","1981",0
"4553","Mozambique","1981",0
"4554","Myanmar","1981",0
"4555","Namibia","1981",0
"4556","Nauru","1981",0
"4557","Nepal","1981",0
"4558","Netherlands","1981",0
"4559","Netherlands Antilles","1981",0
"4560","New Caledonia","1981",0
"4561","New Zealand","1981",0
"4562","Ngorno-Karabakh","1981",0
"4563","Nicaragua","1981",0
"4564","Niger","1981",0
"4565","Nigeria","1981",0
"4566","Niue","1981",0
"4567","Norfolk Island","1981",0
"4568","Northern Cyprus","1981",0
"4569","Northern Mariana Islands","1981",0
"4570","Norway","1981",0.040744636285807
"4571","Oman","1981",0
"4572","Pakistan","1981",0
"4573","Palau","1981",0
"4574","Panama","1981",0
"4575","Papua New Guinea","1981",0
"4576","Paraguay","1981",0
"4577","Peru","1981",0
"4578","Philippines","1981",0
"4579","Pitcairn","1981",0
"4580","Poland","1981",0
"4581","Portugal","1981",0
"4582","Puerto Rico","1981",0
"4583","Qatar","1981",0
"4584","Reunion","1981",0
"4585","Romania","1981",0
"4586","Russia","1981",0
"4587","Rwanda","1981",0
"4588","St. Barthélemy","1981",0
"4589","St. Helena","1981",0
"4590","St. Kitts and Nevis","1981",0
"4591","St. Lucia","1981",0
"4592","St. Martin","1981",0
"4593","St. Vincent and the Grenadines","1981",0
"4594","St.-Pierre-et-Miquelon","1981",0
"4595","Samoa","1981",0
"4596","San Marino","1981",0
"4597","Sao Tome and Principe","1981",0
"4598","Saudi Arabia","1981",0
"4599","Senegal","1981",0
"4600","Serbia","1981",0
"4601","Serbia and Montenegro","1981",0
"4602","Serbia excluding Kosovo","1981",0
"4603","Seychelles","1981",0
"4604","Sierra Leone","1981",0
"4605","Singapore","1981",0
"4606","Slovak Republic","1981",0
"4607","Slovenia","1981",0
"4608","Solomon Islands","1981",0
"4609","Somalia","1981",0
"4610","Somaliland","1981",0
"4611","South Africa","1981",0
"4612","South Ossetia","1981",0
"4613","Spain","1981",0
"4614","Sri Lanka","1981",0
"4615","Sudan","1981",0
"4616","Suriname","1981",0
"4617","Svalbard","1981",0
"4618","Swaziland","1981",0
"4619","Sweden","1981",0.244757169682998
"4620","Switzerland","1981",0
"4621","Syria","1981",0
"4622","Taiwan","1981",0
"4623","Tajikistan","1981",0
"4624","Tanzania","1981",0
"4625","Thailand","1981",0
"4626","Timor-Leste","1981",0
"4627","Togo","1981",0
"4628","Tokelau","1981",0
"4629","Tonga","1981",0
"4630","Transnistria","1981",0
"4631","Trinidad and Tobago","1981",0
"4632","Tunisia","1981",0
"4633","Turkey","1981",0
"4634","Turkmenistan","1981",0
"4635","Turks and Caicos Islands","1981",0
"4636","Tuvalu","1981",0
"4637","Uganda","1981",0
"4638","Ukraine","1981",0
"4639","United Arab Emirates","1981",0
"4640","United Kingdom","1981",0
"4641","United States","1981",0
"4642","Uruguay","1981",0
"4643","USSR","1981",0
"4644","Uzbekistan","1981",0
"4645","Wallis et Futuna","1981",0
"4646","Vanuatu","1981",0
"4647","Venezuela","1981",0
"4648","West Bank and Gaza","1981",0
"4649","West Germany","1981",0
"4650","Western Sahara","1981",0
"4651","Vietnam","1981",0
"4652","Virgin Islands (U.S.)","1981",0
"4653","North Yemen (former)","1981",0
"4654","South Yemen (former)","1981",0
"4655","Yemen","1981",0
"4656","Yugoslavia","1981",0
"4657","Zambia","1981",0
"4658","Zimbabwe","1981",0
"4659","Åland","1981",0
"4660","South Sudan","1981",0
"4661","Christian","1981",0
"4662","Coastline","1981",0
"4663","Curaçao","1981",0
"4664","Sint Maarten (Dutch part)","1981",0
"4665","St. Martin (French part)","1981",0
"4666","Antarctica","1981",0
"4667","Virgin Islands, British","1981",0
"4668","Hawaiian Trade Zone","1981",0
"4669","U.S. Pacific Islands","1981",0
"4670","Wake Island","1981",0
"4671","Bonaire","1981",0
"4672","Sark","1981",0
"4673","Chinese Taipei","1981",0
"4674","Saint Eustatius","1981",0
"4675","Saba","1981",0
"4676","Abkhazia","1982",0
"4677","Afghanistan","1982",0
"4678","Akrotiri and Dhekelia","1982",0
"4679","Albania","1982",0
"4680","Algeria","1982",0
"4681","American Samoa","1982",0
"4682","Andorra","1982",0
"4683","Angola","1982",0
"4684","Anguilla","1982",0
"4685","Antigua and Barbuda","1982",0
"4686","Argentina","1982",0
"4687","Armenia","1982",0
"4688","Aruba","1982",0
"4689","Australia","1982",0
"4690","Austria","1982",0
"4691","Azerbaijan","1982",0
"4692","Bahamas","1982",0
"4693","Bahrain","1982",0
"4694","Bangladesh","1982",0
"4695","Barbados","1982",0
"4696","Belarus","1982",0
"4697","Belgium","1982",0
"4698","Belize","1982",0
"4699","Benin","1982",0
"4700","Bermuda","1982",0
"4701","Bhutan","1982",0
"4702","Bolivia","1982",0
"4703","Bosnia and Herzegovina","1982",0
"4704","Botswana","1982",0
"4705","Brazil","1982",0
"4706","British Virgin Islands","1982",0
"4707","Brunei","1982",0
"4708","Bulgaria","1982",0
"4709","Burkina Faso","1982",0
"4710","Burundi","1982",0
"4711","Cambodia","1982",0
"4712","Cameroon","1982",0
"4713","Canada","1982",0
"4714","Cape Verde","1982",0
"4715","Cayman Islands","1982",0
"4716","Central African Republic","1982",0
"4717","Chad","1982",0
"4718","Channel Islands","1982",0
"4719","Chile","1982",0
"4720","China","1982",0
"4721","Christmas Island","1982",0
"4722","Cocos Island","1982",0
"4723","Colombia","1982",0
